Temperatura,Humedad,HumedadTerre,Luminosidad,PH,VelociViento
24,88,23,3,6,20
24,48,58,55,7,27
28,72,65,30,6,8
43,71,61,99,5,28
15,59,90,54,5,7
40,41,77,56,4,6
33,47,69,94,7,8
33,88,42,90,6,2
17,81,35,9,7,12
41,83,87,41,5,3
39,61,39,59,4,20
43,70,42,17,6,19
35,94,76,65,6,25
36,69,25,45,6,26
36,67,85,91,5,29
42,44,6,10,5,8
24,41,99,9,4,16
33,40,42,90,7,1
29,30,97,23,7,8
23,36,26,43,4,2
18,75,46,0,6,24
25,41,39,8,7,21
42,47,81,81,4,20
22,63,23,54,5,21
16,70,36,84,5,28
20,49,67,25,4,26
20,47,80,72,6,25
39,75,40,65,4,11
31,84,81,78,6,17
38,48,31,50,5,12
44,30,58,33,6,17
38,52,16,50,5,5
43,30,76,3,7,20
15,61,20,61,4,21
31,90,6,71,5,10
34,39,85,64,7,5
17,71,59,44,5,20
23,69,41,26,5,26
26,94,34,69,7,27
31,69,17,79,5,10
41,49,33,29,7,8
25,90,19,78,6,27
33,38,99,39,5,2
23,34,45,73,7,13
16,78,26,26,5,6
43,94,9,81,5,20
41,64,68,52,4,25
32,41,39,44,4,24
38,41,43,45,7,10
19,77,78,79,4,18
22,93,78,49,6,27
30,36,19,67,7,25
21,34,20,45,5,20
34,41,83,86,4,21
23,39,1,86,5,11
16,65,17,34,6,3
20,62,50,69,7,25
39,56,64,32,5,6
18,80,96,59,4,22
27,64,4,2,6,1
24,97,84,62,6,25
38,94,4,97,6,19
16,63,73,96,4,29
35,65,67,94,6,8
35,86,95,47,4,2
34,78,53,11,5,18
30,61,79,81,4,9
27,39,68,71,5,23
20,62,60,53,6,1
22,62,96,42,7,22
25,97,59,23,7,20
33,58,95,67,6,1
40,73,0,24,5,23
26,45,91,95,5,25
21,30,61,82,4,1
26,83,70,30,5,23
22,86,52,50,7,2
44,66,70,14,4,4
20,63,77,66,5,29
36,55,61,48,6,7
34,34,48,65,6,22
42,97,9,63,6,8
27,88,71,3,4,22
43,32,22,19,6,6
41,47,43,44,5,10
34,86,72,88,5,22
24,44,30,47,4,4
20,59,35,64,5,22
16,42,2,73,4,27
31,85,72,42,6,6
40,62,69,4,5,19
32,61,3,22,7,26
18,41,16,13,7,11
16,72,52,48,4,0
41,99,65,80,7,0
18,38,28,56,6,4
31,69,0,94,7,8
42,47,78,76,5,5
28,34,57,36,5,2
23,70,45,85,6,15
34,96,9,90,4,27
28,57,1,20,4,15
33,90,75,26,4,4
23,74,35,16,5,1
40,82,54,50,6,2
44,61,40,58,7,18
16,37,37,86,5,0
37,84,39,14,6,19
29,74,43,92,5,3
28,66,12,59,7,6
29,82,67,91,6,19
37,92,84,89,5,12
41,84,65,49,5,28
23,55,5,1,7,26
34,42,60,99,6,3
33,32,42,35,4,4
34,36,77,7,5,27
25,40,64,1,6,17
26,52,12,30,6,8
31,97,30,28,5,27
22,70,41,6,6,21
20,58,26,35,5,13
26,51,18,20,4,13
27,78,52,68,7,26
35,30,87,84,6,15
25,35,63,15,7,0
18,81,20,99,4,23
18,47,4,64,7,19
35,41,42,83,6,1
25,59,94,16,6,6
33,69,37,83,7,16
31,33,90,46,4,8
37,52,40,99,7,6
30,76,12,80,6,22
16,85,86,81,5,19
36,41,28,97,7,12
40,46,42,75,7,14
37,47,99,96,5,23
22,81,9,75,6,16
16,58,75,66,5,15
26,93,35,84,7,12
41,33,8,25,7,14
43,87,42,5,6,23
22,90,58,44,7,0
21,81,93,82,4,26
30,81,67,25,7,28
15,38,69,58,5,24
15,77,47,2,5,5
20,83,22,74,7,7
18,55,27,84,5,11
24,74,84,14,6,11
37,43,60,84,6,10
23,94,56,4,7,18
38,75,23,77,6,22
36,46,74,6,5,23
43,84,79,6,4,19
44,80,42,30,6,29
38,48,74,51,4,8
29,95,76,69,5,18
31,57,7,64,6,13
18,58,98,49,4,28
17,39,14,52,7,8
18,68,51,54,7,25
37,76,18,57,4,8
34,60,15,99,4,29
26,85,98,76,7,9
22,84,44,96,5,19
36,96,67,81,5,5
37,34,2,51,4,0
25,55,55,0,7,9
21,82,63,10,6,2
20,54,15,44,7,15
39,78,54,94,7,14
35,71,58,87,5,1
20,80,44,17,6,18
33,43,79,63,4,15
30,81,42,84,4,10
34,35,53,43,4,22
43,94,81,15,5,0
32,60,37,85,4,14
34,55,16,61,5,22
44,34,43,10,4,29
29,85,81,40,6,22
43,87,74,98,7,1
25,67,42,18,5,26
43,46,62,5,4,12
29,38,9,13,5,18
40,63,28,68,6,23
42,33,63,95,7,6
21,57,59,67,6,16
43,39,28,57,6,4
43,65,34,21,6,19
35,46,64,4,5,5
34,34,4,15,6,18
44,78,57,10,7,14
31,60,15,43,4,15
43,32,25,13,6,0
28,72,50,20,5,16
15,38,8,67,6,16
31,77,64,33,4,10
42,87,85,80,4,5
33,66,86,41,6,23
36,98,2,69,6,13
32,90,85,32,5,19
38,85,6,12,6,3
39,50,72,98,5,24
21,64,73,41,5,23
39,51,31,17,4,25
42,50,16,48,5,8
42,76,82,45,6,14
34,49,14,84,5,21
24,75,29,58,4,14
16,83,31,41,7,15
29,40,18,91,5,25
17,41,93,79,6,16
32,85,0,27,6,5
26,63,39,65,6,12
44,73,83,57,5,7
42,44,47,47,4,24
35,70,24,60,7,7
32,51,13,97,6,15
17,77,12,13,5,0
43,55,4,89,7,18
18,81,40,96,4,27
16,63,66,52,6,24
27,36,2,12,4,22
36,85,69,22,6,29
41,51,45,66,7,18
41,45,36,82,6,22
38,92,25,67,5,14
42,37,63,11,7,27
27,53,96,14,5,2
32,42,68,31,7,13
33,79,17,5,4,10
28,98,67,69,6,6
34,46,8,32,6,26
20,75,0,49,4,1
34,52,59,2,5,7
25,37,17,22,6,12
44,92,20,96,4,14
22,86,36,16,5,29
42,86,81,81,6,2
22,48,11,86,5,2
23,96,2,98,6,22
39,50,80,0,5,15
38,52,51,38,6,14
33,70,54,65,5,23
22,72,3,8,5,16
31,68,23,8,6,15
36,69,49,18,5,15
37,76,10,33,6,24
40,91,71,60,4,25
18,91,50,21,6,4
28,89,60,82,4,5
41,34,19,41,5,27
19,51,50,60,4,11
18,72,10,28,5,18
32,68,3,10,4,13
44,74,97,27,7,16
21,78,60,76,4,25
40,45,74,87,6,20
44,55,61,30,6,14
29,39,75,59,6,29
40,48,77,87,7,25
29,32,28,30,5,22
36,84,97,61,7,19
21,88,68,39,6,26
22,76,40,49,7,20
16,63,91,33,4,12
24,62,49,13,6,12
18,34,97,29,4,5
31,96,20,44,5,20
15,41,80,4,7,13
38,30,82,12,4,5
28,62,60,6,7,26
29,48,28,83,6,17
41,31,67,64,7,23
34,70,89,97,5,18
19,69,33,10,4,9
40,39,42,65,5,16
35,51,79,78,6,27
33,30,11,57,6,24
22,73,84,30,7,20
17,61,2,79,4,15
19,44,97,63,4,26
44,69,77,68,6,6
44,62,46,63,6,1
28,51,40,47,5,23
44,62,78,77,4,13
18,44,98,36,5,28
43,62,98,48,4,5
31,70,20,54,4,13
19,51,22,74,7,8
24,94,59,56,5,6
17,50,41,68,7,28
42,39,25,4,5,15
41,74,35,80,4,1
20,97,82,1,6,0
21,54,43,0,4,23
40,88,90,97,5,25
31,55,83,1,5,28
17,47,91,21,6,8
33,70,50,34,4,13
26,97,53,73,6,29
42,76,37,99,6,23
26,69,70,15,6,12
23,48,62,45,4,17
29,32,95,94,5,29
40,77,17,58,4,8
21,44,85,24,5,27
25,56,69,92,6,14
41,43,40,26,7,27
24,67,92,81,4,17
24,63,32,39,7,29
15,31,41,49,4,14
16,65,55,87,6,5
22,60,37,3,4,20
43,49,20,75,6,4
44,37,44,79,7,11
37,62,79,56,7,2
28,78,72,30,7,5
25,31,46,59,5,3
43,45,44,65,7,24
22,76,95,9,4,15
25,39,51,51,6,8
27,87,20,39,7,11
30,80,18,30,4,26
37,60,91,84,7,2
36,83,71,60,5,0
21,75,49,85,7,25
39,82,93,21,6,15
23,68,26,89,5,4
44,62,33,89,7,14
37,85,89,3,6,6
22,52,29,10,4,12
26,57,89,59,6,27
31,65,96,91,7,13
