Temperatura,Humedad,HumedadTerre,Luminosidad,PH,VelociViento
15,38,66,11,4,20
30,87,88,99,5,16
35,69,28,56,5,13
33,37,52,10,7,7
30,80,96,62,4,26
23,58,56,89,6,5
42,66,4,47,7,13
27,73,9,46,5,8
34,33,69,64,7,29
44,75,32,72,4,21
17,87,95,75,5,5
22,75,9,91,4,29
31,81,19,28,7,19
37,30,18,23,4,14
37,47,8,58,5,9
31,97,25,51,5,13
34,58,60,89,4,0
38,50,84,21,4,2
37,41,11,41,4,28
43,95,80,71,6,23
40,73,60,0,7,2
21,82,95,77,7,18
16,42,57,57,6,1
26,81,41,37,4,7
17,86,34,71,4,7
18,95,27,68,4,29
44,66,20,93,4,8
36,73,85,53,6,27
19,72,32,18,4,21
41,87,68,36,6,29
35,76,88,20,4,21
30,99,79,86,7,29
18,41,19,11,6,20
26,87,5,2,5,3
15,45,75,28,4,6
40,99,8,16,5,14
23,72,50,11,5,20
17,89,22,5,7,29
23,81,32,79,7,27
30,65,16,80,7,6
25,84,20,69,7,2
25,80,40,93,7,27
27,32,10,45,6,4
17,42,23,5,5,20
32,42,30,30,5,24
37,92,89,7,5,1
25,67,42,13,7,4
32,58,70,36,7,17
41,47,21,23,6,10
42,32,43,80,7,23
22,36,43,49,5,12
43,84,65,2,5,23
39,31,55,48,5,1
40,58,81,70,7,22
28,75,87,45,6,8
32,99,66,57,4,6
44,49,86,4,7,19
36,89,91,58,4,5
25,60,49,75,5,28
33,91,51,99,7,17
30,61,46,39,4,23
41,92,76,86,6,29
28,35,5,24,7,20
16,99,52,47,5,17
20,44,9,72,6,4
40,77,0,63,5,27
28,87,30,7,5,19
29,40,92,78,5,26
29,38,15,0,5,2
37,38,74,59,4,13
36,96,75,66,7,16
23,72,34,2,7,2
38,66,0,31,5,26
23,59,58,84,6,4
35,41,27,44,6,13
38,51,41,31,6,0
37,90,13,86,4,4
24,39,16,52,6,16
29,70,81,15,4,5
18,44,52,62,5,7
29,42,62,3,4,28
16,72,14,1,4,28
18,73,3,61,6,9
18,83,54,40,6,24
44,66,21,11,6,6
25,55,43,22,5,28
30,86,56,22,6,27
33,69,94,66,7,24
43,44,24,80,7,16
19,58,18,59,6,24
23,73,4,76,5,25
17,63,61,29,4,25
21,58,54,90,6,27
17,69,13,12,6,0
44,79,28,20,6,15
21,32,7,39,7,16
34,89,0,72,5,13
16,77,68,44,7,3
20,42,51,9,6,4
28,40,98,8,5,13
40,99,64,21,4,16
20,62,62,80,5,28
38,80,4,55,7,12
28,76,94,79,7,13
23,43,87,11,5,8
39,87,60,63,6,23
28,57,71,45,5,26
39,61,20,52,4,29
26,76,21,23,5,21
31,74,53,75,6,5
22,43,52,8,5,25
