Temperatura,Humedad,HumedadTerre,Luminosidad,PH,VelociViento
40,47,61,78,7,0
40,35,40,59,7,22
31,93,74,48,6,27
42,98,18,25,4,5
15,32,88,31,6,29
19,40,42,34,4,9
27,62,77,41,6,27
20,47,13,35,6,18
41,43,79,37,6,3
39,46,57,85,5,1
29,35,35,62,7,23
20,90,66,52,7,17
30,56,67,74,6,19
43,82,61,44,7,24
43,57,1,60,4,10
44,51,9,65,7,27
25,53,72,40,4,9
42,80,63,38,5,28
36,78,72,58,5,20
42,52,39,91,4,11
31,34,72,0,6,21
30,88,35,62,7,13
37,97,48,95,4,15
37,38,58,81,5,28
43,55,57,26,6,12
19,65,27,61,4,17
41,62,20,58,7,4
21,91,10,24,4,28
39,41,45,67,7,22
23,92,20,75,5,3
17,65,87,26,7,22
38,63,74,75,4,19
42,65,14,78,5,0
23,48,30,18,7,13
17,63,62,33,6,15
17,50,54,96,6,19
26,85,65,66,7,0
27,60,38,42,7,24
28,69,51,27,6,7
17,82,49,92,4,15
24,87,73,20,7,12
15,50,52,17,6,7
27,42,25,35,6,26
27,84,44,36,6,23
43,32,92,92,4,17
20,91,40,48,4,15
24,94,52,78,7,19
22,40,85,69,6,21
16,88,91,44,5,0
29,94,70,45,6,20
22,48,70,0,5,14
26,74,55,77,7,4
39,36,30,94,4,8
17,53,51,79,6,5
42,85,28,29,6,20
43,76,2,1,7,1
41,43,28,30,7,19
21,34,99,48,6,2
38,70,94,15,6,18
33,46,59,53,5,5
40,89,76,46,4,4
23,34,9,22,7,17
35,86,36,44,6,25
23,89,24,41,5,12
15,44,19,44,5,3
40,45,53,90,4,12
19,35,92,48,7,10
18,72,52,33,4,1
41,78,43,6,5,5
22,91,44,13,4,18
30,89,15,61,7,15
42,72,69,24,6,5
19,88,0,86,4,1
35,59,13,16,6,19
17,65,68,76,4,20
28,81,58,45,5,16
22,79,31,75,5,26
32,97,55,24,4,29
41,73,92,2,6,2
35,96,18,72,5,7
25,84,72,24,4,11
37,67,90,71,7,20
33,47,30,31,4,3
35,81,83,52,7,24
39,62,91,19,5,15
40,92,58,85,4,11
40,86,48,44,4,14
19,80,29,96,7,3
28,83,3,33,6,29
39,71,61,13,4,17
19,91,30,56,7,25
22,70,31,33,5,2
23,53,24,93,4,28
43,93,78,72,4,0
32,70,74,20,4,23
16,42,42,87,5,29
32,47,0,91,6,27
44,84,20,17,4,11
31,71,12,7,5,3
42,90,94,1,6,11
40,94,90,85,4,29
38,77,78,33,6,4
42,50,89,89,6,14
35,39,29,74,4,20
19,38,81,25,5,11
25,48,13,37,4,27
28,47,32,29,4,15
18,76,32,71,7,10
44,96,38,38,7,1
16,84,18,15,4,9
36,38,77,13,6,25
33,88,26,7,7,3
39,41,71,50,7,12
42,74,81,28,7,2
40,61,40,75,5,23
42,33,16,76,4,21
25,39,92,37,4,7
15,45,96,28,7,14
35,98,68,95,5,27
24,67,45,42,4,29
22,55,38,9,7,20
41,50,89,79,6,16
35,33,27,83,4,23
33,32,28,2,7,2
30,65,57,79,5,4
30,79,21,46,4,23
31,30,30,72,4,16
16,97,59,96,5,17
15,75,63,48,7,13
38,80,91,27,4,2
27,60,32,1,7,24
39,76,35,19,7,5
18,63,10,75,5,2
34,64,68,20,5,3
28,71,79,48,4,10
43,53,92,72,5,18
34,89,13,39,7,6
41,84,25,44,6,1
29,30,90,39,7,24
43,72,89,49,5,19
28,96,79,26,7,18
39,76,12,64,4,21
20,87,66,84,6,1
44,50,87,66,5,15
39,43,66,23,4,9
41,43,74,14,7,20
15,42,30,37,7,6
15,37,94,53,4,4
34,46,36,14,5,22
16,39,67,29,5,13
25,61,79,24,4,28
33,43,40,79,6,8
35,91,87,59,6,12
23,69,61,42,6,11
43,54,14,59,7,8
42,76,95,62,4,2
32,70,66,95,4,17
16,92,11,3,6,27
44,64,14,30,4,20
32,42,34,49,7,23
16,72,50,47,7,27
33,50,74,28,5,12
16,30,3,81,7,19
26,77,80,12,4,27
40,75,99,75,4,10
35,71,47,64,6,2
22,76,16,94,6,25
35,94,74,98,6,11
18,71,53,3,6,0
23,74,6,0,6,10
39,73,68,65,5,26
41,66,99,19,5,26
36,67,34,41,5,21
15,98,90,4,6,28
34,35,69,52,5,12
27,56,45,21,4,4
19,43,16,76,4,15
40,31,3,88,6,11
42,91,48,99,4,0
37,40,82,54,5,6
40,39,24,68,7,18
25,71,91,65,6,17
21,49,45,13,5,11
27,52,61,50,5,13
30,57,13,80,6,17
